Var1,Var2,Corr,Abs_Corr
perimmigre2022,pvoixNUPratio,0.15118908791348187,0.15118908791348187
pvoixNUPratio,peretr2022,0.15096392224877056,0.15096392224877056
pvoixREGratio,pvoixLRratio,-0.1490548960751869,0.1490548960751869
pvoteTDratio,pbac2022,-0.14821542728279188,0.14821542728279188
pbac2022,pvoteTGratio,0.14821542725661543,0.14821542725661543
pvoixRNratio,part_etranger,-0.14800696656124565,0.14800696656124565
peretr2022,capitalratio2022,0.14731471376767916,0.14731471376767916
pblancnulratio,prixm2ratio2022,-0.14729910582626116,0.14729910582626116
pvoixRNratio,revratio2022,-0.14669702684374517,0.14669702684374517
pvoteGratio,perpropri2022,-0.14615260256904355,0.14615260256904355
perprive2021comm,pvoixRNratio,-0.14594214897823138,0.14594214897823138
pvoixRNratio,pvoixENSratio,-0.14550599687464522,0.14550599687464522
pvoteDratio,pvoixENSratio,-0.1454318999401363,0.1454318999401363
pouem2022,pvoixRNratio,0.14525529780116614,0.14525529780116614
perprive2021comm,pvoteDratio,-0.14491619480123158,0.14491619480123158
pvoteTGratio,pparratio,0.14461937748929882,0.14461937748929882
pabs,pvoteTGratio,-0.14461937662538205,0.14461937662538205
pparratio,pvoteTDratio,-0.1446193739876466,0.1446193739876466
pvoteTDratio,pabs,0.14461937312373163,0.14461937312373163
pagri2022,pcadr2022,-0.14333278797386978,0.14333278797386978
pvoixECOratio,pvoteTGratio,0.14289367914998807,0.14289367914998807
pvoteTDratio,pvoixECOratio,-0.14289367864292643,0.14289367864292643
popagglo2022,part_francais,-0.14179466510514319,0.14179466510514319
peretr2022,pvoteCGratio,0.14015745119168688,0.14015745119168688
pvoixRNratio,pvoixLRratio,-0.13974317457625451,0.13974317457625451
pvoixNUPratio,perpropri2022,-0.1397219078188107,0.1397219078188107
pvoteDratio,paica2022,-0.13953671562601286,0.13953671562601286
perpropri2022,perprive2021comm,-0.13850375630406883,0.13850375630406883
pop2022,perimmigre2022,0.13829433850472433,0.13829433850472433
pvoteCGratio,perimmigre2022,0.13792646525111937,0.13792646525111937
prixm2ratio2022,pouem2022,-0.13777856022782634,0.13777856022782634
pvoteDratio,peretr2022,-0.13773007874380114,0.13773007874380114
perimmigre2022,pvoteCDratio,-0.13724584389803546,0.13724584389803546
pvoixLRratio,pvoixECOratio,-0.13709444146172411,0.13709444146172411
pvoteTDratio,perrsa2021,-0.13703163365201462,0.13703163365201462
pvoteTGratio,perrsa2021,0.13703163220787373,0.13703163220787373
capitalratio2022,pvoteDratio,-0.13630407307830114,0.13630407307830114
nmencomp,perimmigre2022,0.13554883767480422,0.13554883767480422
pvoteTGratio,capitalratio2022,0.13548639120467906,0.13548639120467906
capitalratio2022,pvoteTDratio,-0.13548638932350826,0.13548638932350826
pvoteTDratio,perpropri2022,0.13464110383291167,0.13464110383291167
perpropri2022,pvoteTGratio,-0.13464110202060417,0.13464110202060417
part_francais,prixm2ratio2022,-0.13345054100475165,0.13345054100475165
pbac2022,pabs,-0.13280843294534975,0.13280843294534975
pbac2022,pparratio,0.13280843060476344,0.13280843060476344
pvoteCDratio,peretr2022,-0.13218383715874513,0.13218383715874513
pblancnulratio,capitalratio2022,-0.13049764343381873,0.13049764343381873
pvoteDCDratio,perpropri2022,0.13045294514974812,0.13045294514974812
part_etranger,pop2022,0.13038506980576942,0.13038506980576942
peretr2022,nmencomp,0.1301702229306643,0.1301702229306643
pvoteDratio,perimmigre2022,-0.1297555719175736,0.1297555719175736
pagri2022,revratio2022,-0.12970850830284228,0.12970850830284228
pvoteDratio,pouem2022,0.12965653447532116,0.12965653447532116
pvoteTDratio,part_francais,0.12935563706303865,0.12935563706303865
part_francais,pvoteTGratio,-0.12935563674905504,0.12935563674905504
peretr2022,pop2022,0.12901941910991152,0.12901941910991152
pvoixLRratio,perrsa2021,-0.12819567789167233,0.12819567789167233
popagglo2022,pvoixRNratio,-0.12703218871217978,0.12703218871217978
psup2022,popagglo2022,0.12626001131243517,0.12626001131243517
part_etranger,pvoteGratio,0.12563692411950267,0.12563692411950267
pparratio,percrimesdelits2020,0.12551639243188026,0.12551639243188026
percrimesdelits2020,pabs,-0.12551638750214003,0.12551638750214003
pvoteDCDratio,popagglo2022,-0.1250526631482043,0.1250526631482043
pvoixRNratio,pouvr2022,0.12473710238680441,0.12473710238680441
pvoteDratio,part_etranger,-0.12463466057579795,0.12463466057579795
pouvr2022,revratio2022,-0.12449947815194354,0.12449947815194354
pbac2022,perrsa2021,-0.12440911957859961,0.12440911957859961
pvoteGCGratio,part_francais,-0.12417601055994741,0.12417601055994741
pvoteCDratio,pvoixRECratio,-0.12412279485503405,0.12412279485503405
perprive2021comm,pvoteCratio,0.12397617683932366,0.12397617683932366
part_francais,perpropri2022,0.1237274185930808,0.1237274185930808
pcadr2022,pvoixRNratio,-0.12371901286296469,0.12371901286296469
revratio2022,pblancnulratio,-0.12269647576979005,0.12269647576979005
prixm2ratio2022,pparratio,-0.1223336455436075,0.1223336455436075
prixm2ratio2022,pabs,0.12233364241558356,0.12233364241558356
part_etranger,pvoixNUPratio,0.12081088049982894,0.12081088049982894
pvoteCDratio,prixm2ratio2022,-0.12071213412319623,0.12071213412319623
pvoixENSratio,pcadr2022,0.12032450737149321,0.12032450737149321
psup2022,pvoixENSratio,0.12027103356072241,0.12027103356072241
pvoteCDratio,capitalratio2022,-0.11900759887233378,0.11900759887233378
perimmigre2022,pvoixLRratio,-0.11885039194833479,0.11885039194833479
pvoteDCDratio,pcadr2022,-0.11871253174688869,0.11871253174688869
