dep,codecommune,ppropri2022,nlogement2022,npropri2022,perpropri2022
2,2160,.79607844,255,203,.82910228
2,2161,.84615386,65,55,.91603678
2,2162,.84848487,132,112,.91967422
2,2163,.53240359,1219,649,.44538131
2,2164,.8888889,144,128,.96876436
2,2165,.74698794,747,558,.74213916
2,2166,.90066224,151,136,.97842294
2,2167,.92727274,330,306,.99246728
2,2168,.40074745,6957,2788,.23371503
2,2169,.71428573,42,30,.6908344
2,2170,.91666669,72,66,.98816878
2,2171,.94594592,37,35,.99720347
2,2172,.84444445,90,76,.91377085
2,2173,.45195195,5994,2709,.32324988
2,2174,.85570472,298,255,.93021196
2,2175,.88524592,61,54,.96581006
2,2176,.93333334,75,70,.99429178
2,2177,.96363634,55,53,.99904466
2,2178,.82051283,39,32,.87252921
2,2179,.88757396,169,150,.96784765
2,2180,.84539473,304,257,.91508138
2,2181,.8125,32,26,.85831922
2,2182,.81632656,49,40,.86476767
2,2183,.90697676,86,78,.98257852
2,2184,.80132449,151,121,.83816916
2,2185,.84810126,158,134,.91905642
2,2186,.74598068,622,464,.7407133
2,2187,.80040735,491,393,.83684891
2,2188,.9041096,73,66,.98083818
2,2189,.74324322,148,110,.73652184
2,2190,.97482014,278,271,.99961191
2,2191,.60946745,169,103,.54025185
2,2192,.80722892,166,134,.84855103
2,2193,.78947371,38,30,.81735116
2,2194,.84158415,101,85,.90899372
2,2195,.90293455,443,400,.98009342
2,2196,.83425415,181,151,.8975479
2,2197,.80392158,204,164,.84289747
2,2198,.97894734,95,93,.99972993
2,2199,.89351851,216,193,.97287542
2,2200,.66666669,51,34,.62298888
2,2201,.77272725,176,136,.78758043
2,2202,,0,0,1.0000014
2,2203,.82802546,628,520,.88675761
2,2204,1,50,50,.99993205
2,2205,.80597013,67,54,.84650826
2,2206,.88235295,17,15,.96301806
2,2207,.91346157,104,95,.9866516
2,2208,.79130435,115,91,.82069391
2,2209,.69706839,307,214,.66499811
2,2210,.84920633,126,107,.92055106
2,2211,.78504676,107,84,.80999154
2,2212,.82352942,306,252,.87816668
2,2213,.87096775,155,135,.95055336
2,2214,.81818181,22,18,.86862719
2,2215,.7610063,318,242,.7663216
2,2216,.94444442,144,136,.99695873
2,2217,.65105385,427,278,.59946358
2,2218,.83858269,254,213,.90471953
2,2219,.77027029,74,57,.7821933
2,2220,.83690989,233,195,.90173399
2,2221,.81481481,81,66,.86226273
2,2222,.3888889,18,7,.21838997
2,2223,.83035713,112,93,.89097375
2,2224,.74545455,165,123,.7398783
2,2225,.95348835,43,41,.99818003
2,2226,.84579438,856,724,.91565955
2,2227,.90476191,42,38,.98132443
2,2228,.86956519,115,100,.94863915
2,2229,.82857144,35,29,.88781619
2,2230,.59574467,94,56,.52111489
2,2231,.640625,448,287,.58380628
2,2232,.74117649,85,63,.73327643
2,2233,.80645162,62,50,.84723777
2,2234,.63157892,38,24,.57011485
2,2235,.75555557,45,34,.75746632
2,2236,.82089549,134,110,.87326479
2,2237,.6305638,674,425,.56883931
2,2238,.69407499,827,574,.66107303
2,2239,.60666668,450,273,.53579801
2,2240,.91000003,100,91,.98444033
2,2241,.84848487,33,28,.91962349
2,2242,.71088433,294,209,.68534631
2,2243,.64045864,1221,782,.58326805
2,2244,.72222221,18,13,.70195454
2,2245,.53767663,1274,685,.45186722
2,2246,.89285713,252,225,.97229207
2,2247,,0,0,1.0000014
2,2248,.76712328,73,56,.77690011
2,2249,.70491803,61,43,.67642891
2,2250,.88095236,42,37,.96137631
2,2251,.7647059,17,13,.77282393
2,2252,.66666669,24,16,.62290144
2,2253,.82068968,145,119,.87288916
2,2254,.85454547,55,47,.92840344
2,2255,.859375,64,55,.93558401
2,2256,.74358976,39,29,.73735654
2,2257,.83163267,196,163,.89331013
2,2258,.85465115,172,147,.92862195
2,2259,.93037975,158,147,.99344057
2,2260,.82283467,254,209,.87675774
2,2261,.82068968,145,119,.87289816
2,2262,.91752577,97,89,.98857516
2,2263,.72222221,36,26,.70190662
2,2264,.84726226,347,294,.91783953
2,2265,.82499999,40,33,.88107347
2,2266,1,27,27,.99998969
2,2267,.84090906,132,111,.90799433
2,2268,.88025892,309,272,.96075499
2,2269,.6875,64,44,.65246665
2,2270,.64179105,67,43,.58520412
2,2271,.69736844,76,53,.66559672
2,2272,.8611111,36,31,.93808866
2,2273,.85542166,83,71,.92969084
2,2274,.77380955,84,65,.78959525
2,2275,.82926828,123,102,.88880569
2,2276,.92000002,50,46,.98974568
2,2277,.84033614,119,100,.90719157
2,2278,.88235295,17,15,.96316546
2,2279,.92142856,280,258,.99038118
