dep;codecommune;nfoyisf2017;mmoyfortune2017;pisf2017;perpisf2017;misf2017;permisf2017;pop2017
94;94081;139;2155035;.0014857253;.047794215;3201.79;.041148882;93557
95;95018;137;2506511;.0012430814;.028130544;3115.7971;.036950871;110210
95;95127;93;2073667;.0014268837;.041302927;2958.8816;.026109861;65177
95;95176;126;2142129;.0052150157;.58234096;11171.237;.44978279;24161
95;95197;113;2150035;.0050659017;.57216251;10891.865;.4391039;22306
95;95203;136;2116810;.0054189744;.59120584;11470.939;.48101038;25097
95;95219;97;2105383;.0033324172;.26861587;7016.0146;.2171872;29108
95;95252;58;3675783;.0015777161;.049443766;5799.3423;.16177614;36762
95;95306;115;2285068;.0039192964;.38032168;8955.8594;.31862965;29342
95;95428;312;3284745;.014537999;.88830167;47753.621;.90356255;21461
95;95500;98;2469707;.003185231;.24976043;7866.5869;.25840276;30767
95;95555;129;2521183;.006237308;.67145747;15725.395;.66386575;20682
95;95582;78;2384576;.0029255119;.22222398;6976.1055;.21588108;26662
95;95607;82;2136790;.0031012443;.24021764;6626.708;.19889744;26441
